source,translation
Learn what you can learn.,học những gì bạn có thể học
I feel a little awkward,tôi cảm thấy hơi khó xử
You are a doctor.,bạn là một bác sĩ.
Tom is here now,tom đang ở đây
I am sorry for not replying to your email earlier.,Tôi xin lỗi vì đã không trả lời email của bạn sớm hơn.
He went out in spite of the heavy rain,anh ra ngoài bất chấp cơn mưa lớn
How long ago did it happen?,nó xảy ra bao lâu rồi
This part of the land belongs to my stepmother,phần đất này thuộc về mẹ kế của tôi
Tom brought up the subject.,tom đưa lên chủ đề.
It is healthy to breathe deeply,Thở khỏe
"The sooner you do it, the better it is.",bạn càng làm sớm thì càng tốt.
I wrote off for an application form,tôi đã viết cho một mẫu đơn
This is what I was waiting for.,đây là những gì tôi đã chờ đợi
I think Tom is too outspoken,tôi nghĩ tom quá thẳng thắn
"If God did not exist, it would be necessary to invent him.","nếu thần không tồn tại, nó sẽ là cần thiết để phát minh ra anh ta."
We should not ask a woman her age,chúng ta không nên hỏi một người phụ nữ bằng tuổi cô ấy
I think Tom and Mary might actually get married.,Tôi nghĩ rằng tom và mary thực sự có thể kết hôn.
He ate everything that was on his plate,anh ấy ăn mọi thứ trên đĩa
How many people want to go swimming with us?,có bao nhiêu người muốn đi bơi với chúng tôi?
There are many Americans who can speak Japanese,có rất nhiều người Mỹ có thể nói tiếng Nhật
Tom looks older than Mary.,Tom trông già hơn mary.
That seems impossible,điều đó dường như là không thể
This is not what I ordered.,Đây không phải là những gì tôi đã ra lệnh.
It does not have to be that way,nó không phải theo cách đó
He was made captain.,ông đã được làm đội trưởng.
I am really looking forward to tomorrow.,tôi thực sự mong đến ngày mai
Were you born in a barn?.,bạn sinh ra trong chuồng ngựa?
"Excuse me, but do you need any help?.","Xin lỗi, nhưng bạn có cần giúp gì không?"
She is almost sixty years old..,cô ấy gần sáu mươi tuổi
They spoke quietly.,họ nói khẽ
Yesterday there was an earthquake..,hôm qua có một trận động đất.
What would Tom want with me?.,Tom muốn gì với tôi?
Can I come?.,tôi có thể đến không?
Tom does not have a cat.,tom không có mèo
We are taking off..,chúng tôi đang cất cánh
Are you efficient?.,bạn có hiệu quả không
I hope you like what I have just given you..,tôi hy vọng bạn thích những gì tôi vừa cho bạn
Why do you look so white?.,tại sao bạn trông rất trắng
It struck like a bombshell!.,nó đánh như một quả bom!
The fire reduced the house to ashes.,Lửa làm nhà tan thành tro tàn.
"Gentlemen, start your engines..","Các quý ông, khởi động động cơ của bạn."
"A few years ago, in San Francisco, a young woman came to us for vocational advice.","Cách đây vài năm, tại san francisco, một phụ nữ trẻ đã đến gặp chúng tôi để được tư vấn hướng nghiệp"
How did you know that man was a cop?,Làm thế nào bạn biết người đàn ông đó là một cảnh sát?
He is familiar with computers,anh ấy quen máy tính
We can hear you.,chúng tôi có thể nghe thấy bạn
Lend me a memo pad or something,cho tôi mượn một tờ giấy ghi nhớ hoặc một cái gì đó
I need some light.,Tôi cần một chút ánh sáng.
My eyes are itchy,mắt tôi bị ngứa
You are too old.,bạn quá già
I do not want to be in pain,tôi không muốn bị đau
I get drunk at least once a month.,Tôi bị say ít nhất một lần một tháng.
How much is this?,cái này bao nhiêu?
I hugged her tightly.,tôi ôm cô ấy thật chặt.
He is a genuine aristocrat,anh ấy là một quý tộc chính hiệu
I have a scooter.,tôi có một chiếc xe tay ga
I am still dealing with that problem,tôi vẫn đang giải quyết vấn đề đó
The stake that sticks out gets hammered down.,các cổ phần dính ra bị đập xuống.
Welcome to our house,chào mừng đến nhà của chúng tôi
I was in a car accident.,tôi bị tai nạn xe hơi
She came in quietly so she would not wake up the baby,Cô lặng lẽ đi vào để cô không đánh thức đứa bé
I am sure of his passing the exam.,tôi chắc chắn về việc anh ấy vượt qua kỳ thi.
He no longer works here,anh ấy không còn làm việc ở đây nữa
Tom is just the man I have been looking for.,Tom chỉ là người đàn ông tôi đã tìm kiếm.
Can I show you something?,Tôi có thể cho bạn xem một số thứ được không?
I told her to be home by nine.,tôi bảo cô ấy về nhà lúc chín giờ.
Your pulse is normal,mạch của bạn bình thường
Tokyo is larger than Yokohama.,tokyo lớn hơn yokoween.
I had to get something out of the car,tôi phải lấy thứ gì đó ra khỏi xe
It is time for my break.,đã đến lúc tôi nghỉ ngơi
Tom was standing just in front of a large building that was up for sale,Tom đang đứng ngay trước một tòa nhà lớn đang được rao bán
Let come up with a new plan.,Hãy đưa ra một kế hoạch mới.
Even a large sum of money cannot take the place of a man life,ngay cả một khoản tiền lớn cũng không thể thay thế cuộc đời của một người đàn ông
Here is the change.,đây là sự thay đổi
He got angry because his honor was at stake,anh ta đã tức giận vì danh dự của anh ta bị đe dọa
I am dying for a cold drink.,Tôi sắp chết vì uống nước lạnh
I know it is cold,tôi biết trời lạnh
He was educated at a public school.,ông được giáo dục tại một trường công lập.
Would you mind opening the window?,bạn có phiền mở cửa sổ không? 
I know none of them.,tôi không biết ai trong số họ.
Tom gave Mary a kick in the ribs,Tom đã cho mary một cú đá vào sườn
Say what you want.,nói những gì bạn muốn.
What sound does a sheep make?,một con cừu tạo ra âm thanh gì
Tom stayed in Boston for three months.,Tom ở lại boston trong ba tháng.
Tom borrowed $300 from Mary,tom đã vay $ 300 từ mary
Why are not you interested?,tại sao bạn không quan tâm
You were at my wedding,bạn đã ở đám cưới của tôi
"No, but I do not really care.","Không, nhưng thiệt tình tôi không quan tâm."
This is a drawing of my preliminary design.,Đây là bản vẽ thiết kế sơ bộ của tôi.
Many schools were closed.,Nhiều trường học phải đóng cửa.
I was nine,Lúc đó tôi chín tuổi
I was on the beach,tôi đã ở trên bãi biển
my family come to beach this summer,gia đình tôi đi biển mùa hè này
I love my family,tôi yêu gia đình tôi
"On the Internet, nobody knows you are a dog","Trên mạng, không ai biết bạn là một con chó"
But that do not mean that we are friends.,Nhưng không có nghĩa chúng ta là bạn.
get her outta here.,đưa cô ấy ra khỏi đây
"Every day, I would go to his clinic when my lessons finished.","mỗi ngày, tôi sẽ đến nhà thuốc của anh ánh khi bài học của tôi kết thúc"
The United States was not at the top of either measure for cash transfers.,Hoa Kỳ không đứng đầu trong các biện pháp chuyển tiền mặt.
You are on sovereign land.,Anh đang ở vùng đất có chủ quyền.
"Get out of my house, you reptile",Cút khỏi nhà tôi đồ bò sát
"In terms of money, we have no money.","Nói về tiền, chúng ta không có tiền."
And I think that this is what really distinguishes extraordinary altruists from the average person.,Tôi nghĩ đây là điều phân biệt người vị tha tuyệt vời với người bình thường.
"In Portugal, people still work as draught cattle.","Ở Bồ Đào Nha, người dân vẫn làm nghề chăn nuôi gia súc."
the sun is a star,mặt trời là một ngôi sao
I will tell you where I go.,Tôi sẽ nói cho ông biết nơi tôi đi
We have international law.,Chúng ta có luật quốc tế.
It is our responsibility,Đó là trách nhiệm của chúng tôi
Do you have any idea where he might have gone?,Cô có biết liệu anh ta có thể đi đâu không?
"Wow, you look beautiful","chà, bạn trông thật đẹp."
He is better than we thought.,Anh ta giỏi hơn chúng tôi tưởng.
"I mean, we are a bunch of freaks, right?","ý em là, chúng ta là một lũ quái dị, phải không?"
Be quiet for a moment.,im lặng một lát
Ηow big is the ball?,Quả bóng to như nào?
how far is it?,Nó cách xa bao nhiêu?
how fast is it?,Nó nhanh thế nào?
You seem perfect,bạn có vẻ hoàn hảo
They had been dancing for an hour when there was a knock on the door.,họ đã nhảy trong một giờ khi có tiếng gõ cửa.
I do not disagree,tôi không đồng ý
I do not quite know where to begin.,tôi không biết bắt đầu từ đâu.
"I am sorry, this is not for sale","tôi xin lỗi, đây không phải là để bán"
That problem is not avoidable,vấn đề đó là không thể tránh khỏi
I suggest we continue,tôi đề nghị chúng ta tiếp tục
I have a black dog and a white dog,Tôi có một con chó đen và một con chó trắng.
The weather forecast predicts heavy rain and thunderstorms tomorrow.,Bản dự báo thời tiết dự đoán sẽ có mưa lớn và dông vào ngày mai.
Recycling helps reduce waste and conserve natural resources.,Tái chế giúp giảm thiểu rác thải và bảo tồn tài nguyên thiên nhiên.
Deforestation is a major environmental problem that destroys important ecosystems.,"Phá rừng là một vấn đề môi trường nghiêm trọng, làm phá hủy các hệ sinh thái quan trọng."
He lays in there all day long.,Anh ta nằm đó cả ngày.
I am in India.,tôi đang ở Ấn Độ.
What would you do if you had a million dollars?,Bạn sẽ làm gì nếu bạn có một triệu đô la?
I will give you a hint,Tôi sẽ cho bạn một gợi ý
She feels bad today,Hôm nay cô ấy cảm thấy tồi tệ
May i eat this apple?,Tôi có thể ăn quả táo này không?
My sister has a beautiful piano,Em gái tôi có một cây đàn piano tuyệt đẹp
There is nothing in this closet,Không có gì trong tủ quần áo này
i can not talk to you right now,Tôi không thể nói chuyện với bạn ngay bây giờ
I saw Tom walking down the beach,Tôi thấy Tom đang đi bộ xuống bãi biển
Tom spent the weekend at his beach house.,Tom đã dành cuối tuần tại ngôi nhà bên bờ biển của mình.
How long does it take to get to the beach?,Mất bao lâu để đến bãi biển?
I return his book to him.,Tôi trả lại cuốn sách của anh ấy cho anh ấy.
I write a letter to Tom,Tôi viết thư cho Tom
He fascinated me.,Anh ấy mê hoặc tôi.
We are always careful.,Chúng tôi luôn cẩn thận.
What language is spoken in France?,Ngôn ngữ nào được nói ở Pháp?
We could just leave it here.,Chúng ta có thể để nó ở đây.
Are we going out for lunch today?,Hôm nay chúng ta có ra ngoài ăn trưa không?
Why would Tom do that to me?,Tại sao Tom lại làm điều đó với tôi?
He may be on the next train,Anh ấy có thể đang ở trên chuyến tàu tiếp theo
The distance from the sun to the earth is about 93 million miles.,Khoảng cách từ mặt trời đến trái đất là khoảng 93 triệu dặm.
The box is made of wood.,Hộp được làm bằng gỗ.
The airplane landed on my farm,Máy bay hạ cánh xuống trang trại của tôi
You and I go way back.,Bạn và tôi quay trở lại.
My home is close to the station,Nhà tôi gần nhà ga
We found that we had lost our way.,Chúng tôi thấy rằng chúng tôi đã lạc đường.
The sun came out from behind the clouds,Mặt trời ló dạng từ phía sau những đám mây
The sun came out and the ice melted.,Mặt trời ló dạng và băng tan.
They basked in the sun,Họ đắm mình dưới mặt trời
The sun is larger than the moon,Mặt trời lớn hơn mặt trăng
The sun is coming up.,Mặt trời sắp mọc.
The sun soon emerged from behind the clouds.,Mặt trời sớm xuất hiện từ phía sau những đám mây.
she exposed her back to the sun on the beach.,Cô ấy phơi lưng dưới ánh mặt trời trên bãi biển.
It is a good idea to cover up when the sun is this strong,Đó là một ý tưởng tốt để che đậy khi mặt trời mạnh như thế này
The sun has dried up the ground,Mặt trời đã làm khô mặt đất
"Without the sun, we could not live on the earth","Không có mặt trời, chúng ta không thể sống trên trái đất"
The wash will have to be put in the sun to dry,Giặt sẽ phải được đặt dưới ánh nắng mặt trời để khô
The earth make one revolution around the sun in about 365 days.,Trái đất tạo ra một vòng quay quanh mặt trời trong khoảng 365 ngày.
The sun is starting to go down.,Mặt trời bắt đầu lặn.
You surprised me.,bạn làm tôi ngạc nhiên.
The sun was coming up then.,Lúc đó mặt trời đã mọc.
I have been out in the sun all day.There was nothing really wrong with Tom,Tôi đã ở ngoài mặt trời cả ngày.
Prices are very high in this store.,Không có gì thực sự sai với Tom
"Orange juice, please",Giá rất cao trong cửa hàng này.
We have four classes in the morning.,"Nước cam, làm ơn"
Tom got stuck in traffic,Chúng tôi có bốn lớp vào buổi sáng.Tom bị kẹt xe
I hate Mondays.,Tôi ghét thứ Hai.
Tom left Mary behind,Tom bỏ Mary lại phía sau
We will be rescued.,Chúng tôi sẽ được giải cứu.
Tom feels exactly the same way as Mary does,Tom cảm thấy giống hệt như Mary
We will take my car.,Chúng tôi sẽ lấy xe của tôi.
I want you to sing,tôi muốn bạn hát
The clock stopped. It needs a new battery.,Đồng hồ dừng lại. Nó cần một pin mới.
I am a new student,Tôi là một sinh viên mới
Tom could not make it to party.,Tom không thể đến dự tiệc.
Which of you will come with me?,Ai trong số các bạn sẽ đi cùng tôi?
I know something is wrong.,Tôi biết có điều gì đó không ổn.
I do not think I would have ever said what you say I said,Tôi không nghĩ rằng tôi sẽ từng nói những gì bạn nói tôi đã nói
We just need to talk to Tom.,Chúng ta chỉ cần nói chuyện với Tom.
Do you wanna talk?,Bạn có muốn nói chuyện không?
I am sorry you got dragged into this,Tôi xin lỗi vì bạn đã bị kéo vào chuyện này
I have made some progress.,Tôi đã đạt được một số tiến bộ.
I suppose I could do that,Tôi cho rằng tôi có thể làm điều đó
I have not met Tom yet.,Tôi vẫn chưa gặp Tom.
That is not appropriate,Điều đó không thích hợp
I like my job just fine.,Tôi thích công việc của mình tốt.
You were so right,bạn nói rất đúng.
I resent the way he treated me.,Tôi phẫn nộ với cách anh ấy đối xử với tôi.
Some newspapers distorted the news,Một số tờ báo bóp méo tin tức
I was caught in an evening shower.,Tôi bị bắt gặp đang tắm buổi tối.
Tom ignored me,Tom phớt lờ tôi
What are you referring to?,bạn đang ám chỉ cái gì?
She will spend the next four years in prison,Cô ấy sẽ phải ngồi tù bốn năm tới
I still think it is weird.,Tôi vẫn nghĩ điều đó thật kỳ lạ.
I do not meet too many women,Tôi không gặp quá nhiều phụ nữ
Is this nice?,Điều này có đẹp không?
How old is this tree?,Cây này bao nhiêu tuổi?
You may stay at my house as long as you like,bạn có thể ở nhà tôi bao lâu tùy thích
Would you mind giving me a minute?,bạn có phiền cho tôi một phút không?
I own a German car,Tôi sở hữu một chiếc xe hơi Đức
I am proud of you.,Tôi tự hào về bạn.
Every boy and every girl was delighted,Mọi chàng trai và mọi cô gái đều vui mừng
he would be very interested in getting a guitar like that one,tom sẽ rất thích có được một cây đàn như thế
i want him to play the guitar,tôi muốn anh ấy chơi guitar
Is that the guitar you bought?,đó có phải là cây đàn guitar bạn mua không?
We cross the railroad tracks every morning.,chúng tôi băng qua đường ray mỗi sáng.
"You do not want to pay more than you have to, right?",bạn không muốn trả nhiều hơn bạn phải không?
I was not driving all that fast,tôi đã không lái xe quá nhanh
The meat has gone bad.,Thịt đã hỏng
All his hopes evaporated when he lost his only son in the war,mọi hy vọng của anh tan biến khi anh mất đứa con trai duy nhất trong cuộc chiến
I do not want to go to sleep.,tôi không muốn đi ngủ
I will go along with you.,tôi sẽ đi cùng bạn
They don not want us to know.,họ không muốn chúng tôi biết.
"To be a good batter, you have got to hang loose and follow your instincts","để trở thành một người đánh bóng giỏi, bạn phải thả lỏng và làm theo bản năng của mình"
Study the next chapter.,nghiên cứu chương tiếp theo.
We made you a cake,chúng tôi làm cho bạn một chiếc bánh
I thought you were going to fix that.,Tôi nghĩ bạn sẽ sửa nó.
He plunged into the water head first,anh ấy lao xuống nước đầu tiên
So what are you implying?,vậy bạn đang ám chỉ điều gì?
You have outdone yourself,bạn đã vượt qua chính mình
I am going to apply for a visa today.,tôi sẽ nộp đơn xin thị thực ngày hôm nay.
The government has been reconsidering its firearms exportation,Chính phủ đã xem xét lại việc xuất khẩu vũ khí của mình
Is someone in there?,có ai ở đó không
Tom wants to have a word with you,tom muốn có một lời với bạn
She loves singing.,cô ấy yêu ca hát
We have all done it,tất cả chúng ta đã làm điều đó
Is that yours?,là của bạn phải không
I kind of like you,tôi cảm thấy thích bạn
I want you to marry me.,Tôi muốn bạn kết hôn với tôi.
I took an airplane from Tokyo to Kyushu,tôi đi máy bay từ tokyo đến kyushu
Roses smell good.,Hoa hồng có mùi thơm.
Driving too fast is dangerous,lái xe quá nhanh là nguy hiểm
Have you ever spun wool?,bạn đã bao giờ kéo len?
I often spend my leisure time listening to the radio.,tôi thường dành thời gian giải trí để nghe radio.
The dog barked at the mailman,con chó sủa người đưa thư
I sell new umbrellas.,Tôi bán ô mới.
She is my classmate,cô ấy là bạn cùng lớp của tôi
It is going to clear up.,nó sẽ sáng tỏ
I thought going out to eat together would cheer you up,tôi nghĩ đi ăn cùng nhau sẽ làm bạn vui lên
You had a week to do this.,bạn đã có một tuần để làm điều này.
So far everything is all right,cho đến nay mọi thứ đều ổn
Sirius is one of the 27 stars on the flag of Brazil.,sirius là một trong 27 ngôi sao trên lá cờ của Brazil.
Why on earth do you want to know that?,Tại sao bạn muốn biết điều đó?
Those are the properties that she owns.,đó là những tài sản mà cô ấy sở hữu.
Your cat is cute,con mèo của bạn dễ thương
I was a stranger.,tôi là một người lạ
I think I can figure it out,tôi nghĩ rằng tôi có thể tìm ra nó
"You do not like arguing with me, do you?",bạn có thích tranh luận với tôi không?
The event affected his future,sự kiện ảnh hưởng đến tương lai của anh ấy
I told you to leave Tom alone.,tôi nói với bạn để tom một mình.
He was too old to resist,anh ấy quá già để chống lại
We flew from Boston to Chicago.,chúng tôi bay từ boston đến chicago.
This car is a clunker,chiếc xe này là một clunker
Why do not you try to find out?,Tại sao bạn không thử tìm hiểu?
We have to go now,chúng tôi phải đi ngay bây giờ
It is exactly half-past eight.,chính xác là tám giờ rưỡi.
